Site,Date,Time,Time Zone,Measurement (MWh/h),Forecast (MWh/h),Uncertainty lower bound (MWh/h),Uncertainty upper bound (MWh/h)
Vermont (Billing Load),2017-04-01,01:00:00,EDT,537.1782599999999,,,
Vermont (Billing Load),2017-04-01,02:00:00,EDT,515.49365,,,
Vermont (Billing Load),2017-04-01,03:00:00,EDT,508.72684000000004,,,
Vermont (Billing Load),2017-04-01,04:00:00,EDT,501.75052,,,
Vermont (Billing Load),2017-04-01,05:00:00,EDT,505.61655999999994,,,
Vermont (Billing Load),2017-04-01,06:00:00,EDT,521.06277,,,
Vermont (Billing Load),2017-04-01,07:00:00,EDT,560.28605,,,
Vermont (Billing Load),2017-04-01,08:00:00,EDT,598.06083,,,
Vermont (Billing Load),2017-04-01,09:00:00,EDT,638.0799099999999,,,
Vermont (Billing Load),2017-04-01,10:00:00,EDT,661.95538,,,
Vermont (Billing Load),2017-04-01,11:00:00,EDT,668.80905,,,
Vermont (Billing Load),2017-04-01,12:00:00,EDT,659.69893,,,
Vermont (Billing Load),2017-04-01,13:00:00,EDT,638.5255599999999,,,
Vermont (Billing Load),2017-04-01,14:00:00,EDT,612.93431,,,
Vermont (Billing Load),2017-04-01,15:00:00,EDT,605.96887,,,
Vermont (Billing Load),2017-04-01,16:00:00,EDT,618.94125,,,
Vermont (Billing Load),2017-04-01,17:00:00,EDT,630.34392,,,
Vermont (Billing Load),2017-04-01,18:00:00,EDT,651.96818,,,
Vermont (Billing Load),2017-04-01,19:00:00,EDT,658.6208,,,
Vermont (Billing Load),2017-04-01,20:00:00,EDT,670.94421,,,
Vermont (Billing Load),2017-04-01,21:00:00,EDT,659.76531,,,
Vermont (Billing Load),2017-04-01,22:00:00,EDT,635.63031,,,
Vermont (Billing Load),2017-04-01,23:00:00,EDT,597.1628400000001,,,
Vermont (Billing Load),2017-04-02,00:00:00,EDT,551.07416,,,
Vermont (Billing Load),2017-04-02,01:00:00,EDT,520.51352,,,
Vermont (Billing Load),2017-04-02,02:00:00,EDT,503.60600999999997,,,
Vermont (Billing Load),2017-04-02,03:00:00,EDT,493.59733,,,
Vermont (Billing Load),2017-04-02,04:00:00,EDT,489.2457,,,
Vermont (Billing Load),2017-04-02,05:00:00,EDT,494.41693,,,
Vermont (Billing Load),2017-04-02,06:00:00,EDT,510.19423,,,
Vermont (Billing Load),2017-04-02,07:00:00,EDT,541.74577,,,
Vermont (Billing Load),2017-04-02,08:00:00,EDT,573.44889,,,
Vermont (Billing Load),2017-04-02,09:00:00,EDT,583.9023099999999,,,
Vermont (Billing Load),2017-04-02,10:00:00,EDT,561.27178,,,
Vermont (Billing Load),2017-04-02,11:00:00,EDT,535.4644400000001,,,
Vermont (Billing Load),2017-04-02,12:00:00,EDT,510.9084,,,
Vermont (Billing Load),2017-04-02,13:00:00,EDT,495.84646,,,
Vermont (Billing Load),2017-04-02,14:00:00,EDT,481.98309000000006,,,
Vermont (Billing Load),2017-04-02,15:00:00,EDT,482.43181,,,
Vermont (Billing Load),2017-04-02,16:00:00,EDT,487.59979000000004,,,
Vermont (Billing Load),2017-04-02,17:00:00,EDT,511.57831,,,
Vermont (Billing Load),2017-04-02,18:00:00,EDT,563.88994,,,
Vermont (Billing Load),2017-04-02,19:00:00,EDT,623.00573,,,
Vermont (Billing Load),2017-04-02,20:00:00,EDT,658.41948,,,
Vermont (Billing Load),2017-04-02,21:00:00,EDT,656.01895,,,
Vermont (Billing Load),2017-04-02,22:00:00,EDT,624.98213,,,
Vermont (Billing Load),2017-04-02,23:00:00,EDT,577.90209,,,
Vermont (Billing Load),2017-04-03,00:00:00,EDT,533.98901,,,
Vermont (Billing Load),2017-04-03,01:00:00,EDT,509.94951,,,
Vermont (Billing Load),2017-04-03,02:00:00,EDT,494.36274000000003,,,
Vermont (Billing Load),2017-04-03,03:00:00,EDT,490.93367,,,
Vermont (Billing Load),2017-04-03,04:00:00,EDT,494.68587,,,
Vermont (Billing Load),2017-04-03,05:00:00,EDT,512.29225,,,
Vermont (Billing Load),2017-04-03,06:00:00,EDT,562.00091,,,
Vermont (Billing Load),2017-04-03,07:00:00,EDT,651.7667,,,
Vermont (Billing Load),2017-04-03,08:00:00,EDT,671.5011400000001,,,
Vermont (Billing Load),2017-04-03,09:00:00,EDT,619.53813,,,
Vermont (Billing Load),2017-04-03,10:00:00,EDT,570.9332,,,
Vermont (Billing Load),2017-04-03,11:00:00,EDT,562.2372799999999,,,
Vermont (Billing Load),2017-04-03,12:00:00,EDT,541.3256,,,
Vermont (Billing Load),2017-04-03,13:00:00,EDT,508.71629,,,
Vermont (Billing Load),2017-04-03,14:00:00,EDT,502.18633,553.5328,506.65195,600.41365
Vermont (Billing Load),2017-04-03,15:00:00,EDT,490.23215999999996,554.62099,508.03104,601.21094
Vermont (Billing Load),2017-04-03,16:00:00,EDT,494.69169000000005,561.21567,515.68326,606.74807
Vermont (Billing Load),2017-04-03,17:00:00,EDT,529.72752,593.77796,551.16882,636.3871
Vermont (Billing Load),2017-04-03,18:00:00,EDT,589.00598,634.42202,593.90931,674.93472
Vermont (Billing Load),2017-04-03,19:00:00,EDT,648.79624,686.39161,648.51099,724.27224
Vermont (Billing Load),2017-04-03,20:00:00,EDT,679.80796,727.79291,691.3087,764.27711
Vermont (Billing Load),2017-04-03,21:00:00,EDT,677.11247,711.58752,676.3681,746.80694
Vermont (Billing Load),2017-04-03,22:00:00,EDT,637.00735,672.97978,638.82914,707.13041
Vermont (Billing Load),2017-04-03,23:00:00,EDT,588.56698,611.6988299999999,578.6866,644.7110700000001
Vermont (Billing Load),2017-04-04,00:00:00,EDT,538.15814,563.01307,530.27462,595.7515099999999
Vermont (Billing Load),2017-04-04,01:00:00,EDT,508.93730999999997,530.7371,497.31768,564.15652
Vermont (Billing Load),2017-04-04,02:00:00,EDT,491.98830999999996,514.01461,480.69445,547.33476
Vermont (Billing Load),2017-04-04,03:00:00,EDT,483.84691,506.06136,472.77447,539.34825
Vermont (Billing Load),2017-04-04,04:00:00,EDT,484.22822,504.51768,471.18215,537.85321
Vermont (Billing Load),2017-04-04,05:00:00,EDT,499.97342000000003,515.9128900000001,481.47013,550.35565
Vermont (Billing Load),2017-04-04,06:00:00,EDT,549.1116599999999,569.57583,532.29092,606.86073
Vermont (Billing Load),2017-04-04,07:00:00,EDT,642.05165,663.7757,624.39107,703.1603299999999
Vermont (Billing Load),2017-04-04,08:00:00,EDT,695.14365,706.9444,668.71053,745.17827
Vermont (Billing Load),2017-04-04,09:00:00,EDT,699.16486,714.51008,678.6018799999999,750.41827
Vermont (Billing Load),2017-04-04,10:00:00,EDT,696.6933700000001,711.8050599999999,676.40036,747.20975
Vermont (Billing Load),2017-04-04,11:00:00,EDT,692.16752,711.22752,674.56453,747.89051
Vermont (Billing Load),2017-04-04,12:00:00,EDT,689.77138,705.4014400000001,667.52007,743.2828099999999
Vermont (Billing Load),2017-04-04,13:00:00,EDT,687.0794400000001,689.5432099999999,650.39798,728.68845
Vermont (Billing Load),2017-04-04,14:00:00,EDT,686.42768,681.73381,641.50686,721.96075
Vermont (Billing Load),2017-04-04,15:00:00,EDT,679.13634,677.59515,636.66292,718.5273900000001
Vermont (Billing Load),2017-04-04,16:00:00,EDT,681.19939,675.61522,634.19164,717.03881
Vermont (Billing Load),2017-04-04,17:00:00,EDT,684.2537,683.28742,641.88459,724.69025
Vermont (Billing Load),2017-04-04,18:00:00,EDT,698.94066,695.2886599999999,654.11195,736.46537
Vermont (Billing Load),2017-04-04,19:00:00,EDT,708.51119,700.64946,661.6410599999999,739.65787
Vermont (Billing Load),2017-04-04,20:00:00,EDT,708.5486900000001,720.11281,682.78431,757.4413
Vermont (Billing Load),2017-04-04,21:00:00,EDT,685.81016,708.49407,671.11743,745.8707099999999
Vermont (Billing Load),2017-04-04,22:00:00,EDT,652.82474,671.8543599999999,634.19526,709.51347
Vermont (Billing Load),2017-04-04,23:00:00,EDT,603.62508,608.62896,571.52838,645.72954
Vermont (Billing Load),2017-04-05,00:00:00,EDT,557.5969299999999,555.86398,522.20987,589.5180799999999
Vermont (Billing Load),2017-04-05,01:00:00,EDT,526.88095,526.7918400000001,494.62167,558.96202
Vermont (Billing Load),2017-04-05,02:00:00,EDT,514.46434,509.18659,477.11955,541.2536299999999
Vermont (Billing Load),2017-04-05,03:00:00,EDT,503.72892,500.6674,468.63492,532.69988
Vermont (Billing Load),2017-04-05,04:00:00,EDT,501.38612,498.37057000000004,466.28755,530.4535900000001
Vermont (Billing Load),2017-04-05,05:00:00,EDT,518.6260599999999,511.33173,478.09972,544.56374
Vermont (Billing Load),2017-04-05,06:00:00,EDT,564.6797,564.1732900000001,528.00388,600.34271
Vermont (Billing Load),2017-04-05,07:00:00,EDT,655.8741,662.51709,624.1868,700.84739
Vermont (Billing Load),2017-04-05,08:00:00,EDT,709.67491,707.1385700000001,670.0846799999999,744.19246
Vermont (Billing Load),2017-04-05,09:00:00,EDT,708.01999,717.40399,682.84319,751.9648
Vermont (Billing Load),2017-04-05,10:00:00,EDT,703.67475,717.52386,683.56347,751.48425
Vermont (Billing Load),2017-04-05,11:00:00,EDT,690.87292,718.01113,682.85385,753.16841
Vermont (Billing Load),2017-04-05,12:00:00,EDT,680.3919400000001,705.2242,668.3797900000001,742.06862
Vermont (Billing Load),2017-04-05,13:00:00,EDT,663.29297,685.7350700000001,647.4194200000001,724.0507299999999
Vermont (Billing Load),2017-04-05,14:00:00,EDT,634.7368799999999,671.18125,631.09906,711.26343
Vermont (Billing Load),2017-04-05,15:00:00,EDT,606.2457,659.91875,618.6372,701.20029
Vermont (Billing Load),2017-04-05,16:00:00,EDT,595.66116,653.04524,611.20559,694.88489
Vermont (Billing Load),2017-04-05,17:00:00,EDT,624.3941,663.14028,621.80251,704.4780400000001
Vermont (Billing Load),2017-04-05,18:00:00,EDT,660.13078,677.5697299999999,637.0452700000001,718.0941799999999
Vermont (Billing Load),2017-04-05,19:00:00,EDT,688.67057,689.31643,651.31194,727.32092
Vermont (Billing Load),2017-04-05,20:00:00,EDT,699.11285,713.73112,677.51269,749.94955
Vermont (Billing Load),2017-04-05,21:00:00,EDT,683.74618,702.73561,666.4675599999999,739.00365
Vermont (Billing Load),2017-04-05,22:00:00,EDT,648.06846,666.30668,629.74761,702.8657599999999
Vermont (Billing Load),2017-04-05,23:00:00,EDT,596.52007,603.70068,567.7172,639.6841599999999
Vermont (Billing Load),2017-04-06,00:00:00,EDT,543.5869299999999,551.9553400000001,519.53687,584.3738
